Sample.ID,TA,Mass,Type
20181128_Junk,2131.199132,59.5517,NA
20181128_CR1,2246.425851,59.257,NA
20181128_CR2,2244.575359,59.3588,NA
,,,
,,,
,,,
Batch 137 TA,2231.59,,
,,,
CRM1 error,0.664810773,,
CRM2 error,0.581888214,,
