Sample.ID,TA,Mass,Type,,
20181030_Junk,2090.88134,59.7,NA,,
20181030_CR1,2266.724359,59.436,NA,,
20181030_CR2,2260.646513,60.2884,NA,,2240.28
,,,,,
,,,,,
,,1.180404185,,,
,,0.909105706,,,
