sample,mass,salinity,Sample.ID,Type,Notes
4A,59.2658,29.87,4A,4A,
4B,59.1847,29.87,4B,4B,
3A,59.1809,29.86,3A,3A,
3B,59.5565,29.86,3B,3B,
2A,59.2827,29.81,2A,2A,
2B,59.4807,29.81,2B,2B,
1A,59.3975,29.76,1A,1A,
1B,59.4143,29.76,1B,1B,
