Sample.ID,TA,Mass,Type
20181102_Junk,2119.439106,60.6675,NA
20181102_CR1,2252.673319,59.7529,NA
20181102_CR2,2252.10332,60.1326,NA
,,,
,,,
,,,
theoretical CRM TA,2240.28,,
% error CRM1,0.553204039,,
% error CRM2,0.527760823,,
