"Sample.ID","TA","Mass","Type"
"JUNK",2233.00574778904,60.0961,NA
"H1_T1-A",2042.04045272389,59.2556,NA
"H1_T1-B",2042.89583166755,59.4208,NA
"H1_T2-A",2032.57384413496,60.0856,NA
"H1_T2-B",2033.15994871997,59.8925,NA
"H1_T3-A",2036.35351256491,59.163,NA
"H1_T3-B",2036.95907698096,60.2887,NA
"H1_T4-A",2025.30005456482,60.1175,NA
"H1_T4-B",2025.44530352203,59.4481,NA
