sample,mass,salinity,Sample.ID,Type,Notes
20190502_JUNK,59.085,29,JUNK,Junk,
20190502_CRM1,59.5683,33.442,CRM1,CRM,
20190502_CRM2,59.3793,33.442,CRM2,CRM,
