Sample.ID,TA,Mass,Type
20190502_JUNK,2250.207181,59.085,NA
20190502_CRM1,2222.465524,59.5683,NA
20190502_CRM2,2218.457417,59.3793,NA
,,,
CRM 178,2216.53,,
,,,
CRM1 Error,0.267784521,,
CRM2 Error,0.086956515,,
