sample,mass,salinity,Sample.ID,Type,Notes
JUNK,59.791,29,JUNK,Junk,run on 20190509 (poisoned samples)
H1_T5-A,59.0096,,H1_T1,1A,
H1_T5-B,60.6046,,H1_T1,1B,
H1_T6-A,60.3016,,H1_T2,2A,
H1_T6-B,59.567,,H1_T2,2B,
H1_T7-A,59.6958,,H1_T3,3A,
H1_T7-B,59.275,,H1_T3,3B,
H1_T8-A,60.4746,,H1_T4,4A,
H1_T8-B,59.7802,,H1_T4,4B,
