sample,mass,salinity,Sample.ID,Type,Notes
JUNK,60.0961,29,JUNK,Junk,
H1_T1-A,59.2556,28.72,H1_T1,1A,
H1_T1-B,59.4208,28.72,H1_T1,1B,
H1_T2-A,60.0856,29.21,H1_T2,2A,
H1_T2-B,59.8925,29.21,H1_T2,2B,
H1_T3-A,59.163,29.27,H1_T3,3A,
H1_T3-B,60.2887,29.27,H1_T3,3B,
H1_T4-A,60.1175,29.25,H1_T4,4A,
H1_T4-B,59.4481,29.25,H1_T4,4B,
