sample,mass,salinity,Sample.ID,Type,Notes
20181112_Junk,60.3542,29,JUNK,JUNK,
20181112_1A,60.8478,30.0775,1A,1A,
20181112_1B,60.0738,30.0775,1B,1B,
20181112_2A,60.0873,30.0775,2A,2A,
20181112_2B,60.6307,30.0775,2B,2B,
20181112_3A,60.1065,30.0775,3A,3A,
20181112_3B,59.1416,30.0775,3B,3B,
20181112_4A,60.4344,30.0775,4A,4A,
20181112_4B,59.342,30.0775,4B,4B,
