sample,mass,salinity,Sample.ID,Type,Notes
20181219_JUNK,59.2108,29,JUNK,Junk,
20181219_CRM1,59.2683,33.782,CRM1,CRM,
20181219_CRM2,59.2299,33.782,CRM2,CRM,
