 	Label	Area	%Area
1	20190221-053-10x.jpg	17939.511	0
2	20190221-053-10x.jpg	5704.828	0
3	20190221-053-10x.jpg	1468.335	0
4	20190221-053-10x.jpg	0.043	0
5	20190221-053-10x.jpg	0.110	0
6	20190221-053-10x.jpg	0.017	0
7	20190221-053-10x.jpg	0.376	0
8	20190221-053-10x.jpg	0.079	0
9	20190221-053-10x.jpg	0.149	0
10	20190221-053-10x.jpg	0.089	0
11	20190221-053-10x.jpg	0.050	0
12	20190221-053-10x.jpg	0.153	0
13	20190221-053-10x.jpg	0.994	0
14	20190221-053-10x.jpg	1.957	0
15	20190221-053-10x.jpg	0.633	0
16	20190221-053-10x.jpg	3.436	0
17	20190221-053-10x.jpg	0.086	0
18	20190221-053-10x.jpg	0.005	0
19	20190221-053-10x.jpg	1.665	0
20	20190221-053-10x.jpg	0.067	0
21	20190221-053-10x.jpg	3.318	0
22	20190221-053-10x.jpg	0.807	0
23	20190221-053-10x.jpg	0.371	0
24	20190221-053-10x.jpg	0.029	0
25	20190221-053-10x.jpg	0.278	0
26	20190221-053-10x.jpg	2.626	0
27	20190221-053-10x.jpg	0.007	0
28	20190221-053-10x.jpg	0.115	0
29	20190221-053-10x.jpg	0.319	0
30	20190221-053-10x.jpg	0.062	0
31	20190221-053-10x.jpg	0.041	0
32	20190221-053-10x.jpg	0.002	0
33	20190221-053-10x.jpg	0.005	0
34	20190221-053-10x.jpg	0.017	0
35	20190221-053-10x.jpg	0.110	0
36	20190221-053-10x.jpg	0.005	0
37	20190221-053-10x.jpg	0.017	0
38	20190221-053-10x.jpg	0.058	0
39	20190221-053-10x.jpg	0.101	0
40	20190221-053-10x.jpg	0.283	0
41	20190221-053-10x.jpg	0.110	0
42	20190221-053-10x.jpg	0.235	0
43	20190221-053-10x.jpg	0.053	0
44	20190221-053-10x.jpg	0.204	0
45	20190221-053-10x.jpg	0.158	0
46	20190221-053-10x.jpg	0.005	0
47	20190221-053-10x.jpg	1.248	0
48	20190221-053-10x.jpg	0.007	0
49	20190221-053-10x.jpg	0.096	0
50	20190221-053-10x.jpg	0.700	0
51	20190221-053-10x.jpg	0.446	0
52	20190221-053-10x.jpg	0.005	0
53	20190221-053-10x.jpg	0.034	0
54	20190221-053-10x.jpg	0.022	0
55	20190221-053-10x.jpg	0.002	0
56	20190221-053-10x.jpg	0.055	0
57	20190221-053-10x.jpg	0.041	0
58	20190221-053-10x.jpg	0.055	0
59	20190221-053-10x.jpg	0.024	0
60	20190221-053-10x.jpg	0.079	0
61	20190221-053-10x.jpg	0.156	0
62	20190221-053-10x.jpg	0.010	0
63	20190221-053-10x.jpg	0.022	0
64	20190221-053-10x.jpg	0.005	0
65	20190221-053-10x.jpg	0.719	0
66	20190221-053-10x.jpg	0.019	0
67	20190221-053-10x.jpg	0.292	0
68	20190221-053-10x.jpg	0.007	0
69	20190221-053-10x.jpg	0.002	0
70	20190221-053-10x.jpg	0.002	0
71	20190221-053-10x.jpg	0.295	0
72	20190221-053-10x.jpg	0.026	0
73	20190221-053-10x.jpg	0.026	0
74	20190221-053-10x.jpg	0.002	0
75	20190221-053-10x.jpg	0.022	0
76	20190221-053-10x.jpg	0.007	0
77	20190221-053-10x.jpg	4.825	0
78	20190221-053-10x.jpg	0.036	0
79	20190221-053-10x.jpg	0.046	0
80	20190221-053-10x.jpg	0.050	0
81	20190221-053-10x.jpg	0.002	0
82	20190221-053-10x.jpg	0.010	0
83	20190221-053-10x.jpg	0.014	0
84	20190221-053-10x.jpg	0.036	0
85	20190221-053-10x.jpg	1.483	0
86	20190221-053-10x.jpg	0.034	0
87	20190221-053-10x.jpg	0.005	0
88	20190221-053-10x.jpg	0.046	0
89	20190221-053-10x.jpg	0.012	0
90	20190221-053-10x.jpg	0.204	0
91	20190221-053-10x.jpg	0.048	0
92	20190221-053-10x.jpg	0.029	0
93	20190221-053-10x.jpg	0.024	0
94	20190221-053-10x.jpg	0.103	0
95	20190221-053-10x.jpg	0.065	0
96	20190221-053-10x.jpg	0.005	0
97	20190221-053-10x.jpg	0.005	0
98	20190221-053-10x.jpg	0.005	0
99	20190221-053-10x.jpg	0.005	0
100	20190221-053-10x.jpg	0.103	0
101	20190221-053-10x.jpg	0.010	0
102	20190221-053-10x.jpg	0.256	0
103	20190221-053-10x.jpg	1.548	0
104	20190221-053-10x.jpg	0.002	0
105	20190221-053-10x.jpg	0.022	0
106	20190221-053-10x.jpg	0.058	0
107	20190221-053-10x.jpg	0.096	0
108	20190221-053-10x.jpg	0.379	0
109	20190221-053-10x.jpg	0.093	0
110	20190221-053-10x.jpg	0.424	0
111	20190221-053-10x.jpg	2.190	0
112	20190221-053-10x.jpg	0.117	0
113	20190221-053-10x.jpg	1.011	0
114	20190221-053-10x.jpg	0.014	0
115	20190221-053-10x.jpg	0.019	0
116	20190221-053-10x.jpg	0.079	0
117	20190221-053-10x.jpg	0.570	0
118	20190221-053-10x.jpg	0.002	0
119	20190221-053-10x.jpg	0.058	0
120	20190221-053-10x.jpg	0.041	0
121	20190221-053-10x.jpg	0.012	0
122	20190221-053-10x.jpg	0.005	0
123	20190221-053-10x.jpg	0.096	0
124	20190221-053-10x.jpg	0.024	0
125	20190221-053-10x.jpg	0.019	0
126	20190221-053-10x.jpg	0.012	0
