Sample.ID,TA,Mass,Type
20181112_Junk,2122.63692,60.3542,NA
20181112_1A,2104.762782,60.8478,NA
20181112_1B,2102.901773,60.0738,NA
20181112_2A,2104.590231,60.0873,NA
20181112_2B,2107.092422,60.6307,NA
20181112_3A,2102.42476,60.1065,NA
20181112_3B,2102.815909,59.1416,NA
20181112_4A,2101.755859,60.4344,NA
20181112_4B,2104.743928,59.342,NA
,,,
,2103.885958,,
,1.734868848,,
