"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"09.05.19","2","B4",-0.745737731184762,-0.745737731184762,-0.745737731184762,0.4
"09.05.19","2","C4",-0.802905902980728,-0.822784336645251,-0.788517665130567,0.4
"09.05.19","2","D4",-0.845286691997802,-0.902425118088359,-0.882673992673996,0.4
"09.05.19","2","A5",-0.508067382450946,-0.497110215053757,-0.497110215053757,0.4
"09.05.19","2","B5",-0.617633052727974,-0.610019873532071,-0.609570429570428,0.4
"09.05.19","2","C5",-0.381212190497969,-0.398746684894055,-0.398746684894055,0.4
"09.05.19","2","D5",0.362521140318402,0.369174825174826,0.585666861484507,0.4
"09.05.19","2","A6",-0.53249718785152,0.32312565751022,0.32312565751022,0.4
"09.05.19","2","B6",-0.758733952245059,-0.714171851738748,-0.766478082992409,0.4
"09.05.19","2","C6",-0.94680981107539,-1.01875251509054,-0.901717839710283,0.4
"09.05.19","2","D6",-0.389906296235411,-0.437946096137812,-0.437946096137812,0.4
"09.05.19","3","A1",-0.890544242873013,-0.60837285067873,-0.60837285067873,0.4
"09.05.19","3","B1",-0.686088687782805,-0.686088687782805,-1.19398009049775,0.4
"09.05.19","3","C1",-0.884950727883536,-0.744383710407233,-0.757129026110153,0.4
"09.05.19","3","D1",-0.450779493043652,-0.433397839058223,-0.394848868778275,0.4
"09.05.19","3","A2",-1.42873122171945,-1.41864537977745,-1.42427046870998,0.4
"09.05.19","3","B2",-0.469016085664417,-0.469016085664417,-0.615149763823284,0.4
"09.05.19","3","C2",-0.415688930806828,-0.393253663003662,-0.393253663003662,0.4
"09.05.19","3","D2",-0.387606557377056,-0.362574314574314,-1.22507511312217,0.4
"09.05.19","3","A3",-0.65757211209843,-0.632999231622972,-0.632999231622972,0.4
"09.05.19","3","B3",-1.36460090497738,-1.39141983884412,-1.39141983884412,0.4
"09.05.19","3","C3",-0.524394752083814,-0.513539019963707,-0.510417674568623,0.4
"09.05.19","3","D3",-0.634188670739129,-0.634188670739129,-0.661809119557529,0.4
"09.05.19","3","A4",-0.566813397129185,-0.665906258003925,-0.665906258003925,0.4
"09.05.19","3","B4",-0.525118104405779,-0.532594086021502,-0.532594086021502,0.4
"09.05.19","3","C4",-0.589811509591325,-0.619122399111445,-0.619122399111445,0.4
"09.05.19","3","D4",-0.518847959690043,-0.49189864253393,-0.49189864253393,0.4
"09.05.19","3","A5",-0.478484210526314,-0.478484210526314,-0.436137624861252,0.4
"09.05.19","3","B5",-0.407930633063305,-0.387082417582417,-0.575890036711341,0.4
"09.05.19","3","C5",-0.384279525201649,-0.388230769230772,-0.388230769230772,0.4
"09.05.19","3","D5",-1.032956860811,-1.02386582809225,-1.02386582809225,0.4
"09.05.19","3","A6",-0.246108374384234,-0.240954684728275,-0.240954684728275,0.4
"09.05.19","3","B6",-1.65000259268861,-1.66687901572112,-1.66687901572112,0.4
"09.05.19","3","C6",-0.564902118024438,-0.525871496924133,-0.628331890331893,0.4
"09.05.19","3","D6",-0.35031593406593,-0.352108294930881,-0.37730688598613,0.4
"09.06.19","1","A1",-0.628211401501724,-1.14333753865183,-1.14333753865183,0.4
"09.06.19","1","B1",-0.831845764854613,-0.842683284799072,-0.842683284799072,0.4
"09.06.19","1","C1",-0.933628200371058,-1.07808806117466,-1.13007622757349,0.4
"09.06.19","1","D1",-1.36584487492758,-1.10350698430305,-1.10350698430305,0.4
"09.06.19","1","A2",-0.835641994633276,-0.80596854249431,-0.80596854249431,0.4
"09.06.19","1","B2",-0.395919753310362,-0.350921551666777,-0.350921551666777,0.4
"09.06.19","1","C2",-0.745256826438533,-0.769214064214492,-0.770827821675934,0.4
"09.06.19","1","D2",-1.00083640887414,-1.01366766762938,-1.0075690157251,0.4
"09.06.19","1","A3",-0.929499934879277,-0.918561022211605,-0.929739003136981,0.4
"09.06.19","1","B3",-0.925787933786709,-0.925787933786709,-0.747910014513785,0.4
"09.06.19","1","C3",-0.673392338239097,-0.680140137011796,-0.722858940114745,0.4
"09.06.19","1","D3",-0.861635552330858,-1.03744595120148,-1.03744595120148,0.4
"09.06.19","1","A4",-0.835050888964676,-0.880178777652793,-0.880178777652793,0.4
"09.06.19","1","B4",-0.906455064514677,-0.929590625378545,-0.929590625378545,0.4
"09.06.19","1","C4",-0.922362755888178,-0.793528255528255,-0.793528255528255,0.4
"09.06.19","1","D4",-1.77675898858423,-1.76770414347557,-1.76770414347557,0.4
"09.06.19","1","A5",-0.476938600257619,-0.496802180615755,-0.496802180615755,0.4
"09.06.19","1","B5",-1.01371326222303,-0.948432283228322,-0.948432283228322,0.4
"09.06.19","1","C5",-1.16625752317357,-1.16529690283613,-1.16529690283613,0.4
"09.06.19","1","D5",-0.568224147542811,-0.544921880304947,-0.528072717159076,0.4
"09.06.19","1","A6",-0.148823631679604,-0.689025142514249,-0.689025142514249,0.4
"09.06.19","1","B6",-0.79298258249905,-1.0570455355073,-1.0570455355073,0.4
"09.06.19","1","C6",-1.02892286339615,-0.975010537849247,-0.975010537849247,0.4
"09.06.19","1","D6",-1.0239697615817,-1.1853506116525,-1.1853506116525,0.4
"09.19.19","1","A1",-0.85118443997317,-0.532088963667918,-0.821519344387273,0.4
"09.19.19","1","B1",-0.253229759132724,-0.237008037334719,-0.237008037334719,0.4
"09.19.19","1","C1",-0.245419641134478,-0.122267381833745,-0.122267381833745,0.4
"09.19.19","1","D1",-0.343720273313735,-0.369284271284265,-0.369284271284265,0.4
"09.19.19","1","A2",-0.564898154477099,-0.524438345721367,-0.524438345721367,0.4
"09.19.19","1","B2",-1.24758466946755,-1.53767600820232,-1.53767600820232,0.4
"09.19.19","1","C2",-0.239353908886389,-0.373176912639595,-0.0645753483650673,0.4
"09.19.19","1","D2",-1.12430569849437,-0.239688311688315,-0.51923721320565,0.4
"09.19.19","1","A3",-0.302929577464792,-0.190507337526208,-0.190507337526208,0.4
"09.19.19","1","B3",0.871946651847739,-1.17077890662796,-1.17077890662796,0.4
"09.19.19","1","C3",0.321399267399268,0.353594721865487,0.353594721865487,0.4
"09.19.19","1","D3",-1.77171970956171,-1.74117127496159,-1.70942310321259,0.4
"09.19.19","1","A4",-1.39440858018386,-1.68696681096681,-1.68696681096681,0.4
"09.19.19","1","B4",1.19108802308802,1.29306240928883,1.29306240928883,0.4
"09.19.19","1","C4",-0.506636733586552,-0.464040920716116,-0.462498251748257,0.4
"09.19.19","1","D4",-0.424435707068491,-0.44441455959988,-0.44441455959988,0.4
"09.19.19","1","A5",-1.08300761924642,-1.10746897546897,-1.10746897546897,0.4
"09.19.19","1","B5",-0.411672740907387,-0.411672740907387,-0.404535807050092,0.4
"09.19.19","1","C5",-0.892986940816889,-0.407985808740529,-0.460181914331038,0.4
"09.19.19","1","D5",-0.809166529672858,-0.767490116088735,-0.767490116088735,0.4
"09.19.19","1","A6",0.0253602187286345,0.386187833219413,0.386187833219413,0.4
"09.19.19","1","B6",-0.657466824900204,-0.644512407780012,-0.640290381125227,0.4
"09.19.19","1","C6",-0.824284434490482,-0.782699543699543,-0.771825472041994,0.4
"09.19.19","1","D6",-1.20217860703603,-1.04803609022557,-1.04803609022557,0.4
