Sample.ID,TA,Mass,Type
20181102_Junk,2116.447001,59.774,NA
20181102_CR1,2254.059432,59.979,NA
20181102_CR2,2250.060674,59.6699,NA
,,,
,,,
,,,
theoretical CRM TA,2240.28,,
% error CRM1,0.615076346,,
% error CRM2,0.436582653,,
