 	Label	Area	%Area
1	20190123-028-10X_crop.jpg	15082.445	0
2	20190123-028-10X_crop.jpg	2088.997	0
3	20190123-028-10X_crop.jpg	0.863	0
4	20190123-028-10X_crop.jpg	0.496	0
5	20190123-028-10X_crop.jpg	0.055	0
6	20190123-028-10X_crop.jpg	0.891	0
7	20190123-028-10X_crop.jpg	0.541	0
8	20190123-028-10X_crop.jpg	17.305	0
9	20190123-028-10X_crop.jpg	0.012	0
10	20190123-028-10X_crop.jpg	12.839	0
11	20190123-028-10X_crop.jpg	0.007	0
12	20190123-028-10X_crop.jpg	0.065	0
13	20190123-028-10X_crop.jpg	8.120	0
14	20190123-028-10X_crop.jpg	0.034	0
15	20190123-028-10X_crop.jpg	0.743	0
16	20190123-028-10X_crop.jpg	6.811	0
17	20190123-028-10X_crop.jpg	0.386	0
18	20190123-028-10X_crop.jpg	6.411	0
19	20190123-028-10X_crop.jpg	2.396	0
20	20190123-028-10X_crop.jpg	0.264	0
21	20190123-028-10X_crop.jpg	0.101	0
22	20190123-028-10X_crop.jpg	0.010	0
23	20190123-028-10X_crop.jpg	0.046	0
24	20190123-028-10X_crop.jpg	0.081	0
25	20190123-028-10X_crop.jpg	0.223	0
26	20190123-028-10X_crop.jpg	0.024	0
27	20190123-028-10X_crop.jpg	0.007	0
28	20190123-028-10X_crop.jpg	0.058	0
29	20190123-028-10X_crop.jpg	0.043	0
30	20190123-028-10X_crop.jpg	0.007	0
31	20190123-028-10X_crop.jpg	2.897	0
32	20190123-028-10X_crop.jpg	0.129	0
33	20190123-028-10X_crop.jpg	0.002	0
34	20190123-028-10X_crop.jpg	0.103	0
35	20190123-028-10X_crop.jpg	0.043	0
36	20190123-028-10X_crop.jpg	5.484	0
37	20190123-028-10X_crop.jpg	3.122	0
38	20190123-028-10X_crop.jpg	3.579	0
39	20190123-028-10X_crop.jpg	0.007	0
40	20190123-028-10X_crop.jpg	0.007	0
41	20190123-028-10X_crop.jpg	0.022	0
42	20190123-028-10X_crop.jpg	0.002	0
43	20190123-028-10X_crop.jpg	0.072	0
44	20190123-028-10X_crop.jpg	0.005	0
45	20190123-028-10X_crop.jpg	0.242	0
46	20190123-028-10X_crop.jpg	0.122	0
47	20190123-028-10X_crop.jpg	0.005	0
48	20190123-028-10X_crop.jpg	1.696	0
49	20190123-028-10X_crop.jpg	0.034	0
50	20190123-028-10X_crop.jpg	0.115	0
51	20190123-028-10X_crop.jpg	0.764	0
52	20190123-028-10X_crop.jpg	0.002	0
53	20190123-028-10X_crop.jpg	0.053	0
54	20190123-028-10X_crop.jpg	0.105	0
55	20190123-028-10X_crop.jpg	0.072	0
56	20190123-028-10X_crop.jpg	0.036	0
