sample,mass,salinity,Sample.ID,Type,Notes
JUNK,59.5768,29,JUNK,Junk,
H1_T1-A,59.9295,,H1_T1,1A,
H1_T1-B,59.9757,,H1_T1,1B,
H1_T2-A,60.0195,,H1_T2,2A,
H1_T2-B,60.3057,,H1_T2,2B,
H1_T3-A,60.1941,,H1_T3,3A,
H1_T3-B,59.248,,H1_T3,3B,
H1_T4-A,59.4773,,H1_T4,4A,
H1_T4-B,60.084,,H1_T4,4B,
