sample,mass,salinity,Sample.ID,Type,Notes
20190509_JUNK,59.5432,29,JUNK,Junk,
20190509_CRM1,59.3945,33.623,CRM1,CRM,
20190509_CRM2,59.7004,33.623,CRM2,CRM,
