Sample.ID,TA,Mass,Type
20190509_JUNK,2256.7751,59.5432,NA
20190509_CRM1,2227.507994,59.3945,NA
20190509_CRM2,2224.632148,59.7004,NA
,,,
,2224.47,,
,,,
Error1,0.136571586,,
Error2,0.007289264,,
