Sample.ID,TA,Mass,Type
20190529_JUNK,2282.954535,60.1553,NA
20190529_CRM1,2223.752266,59.51,NA
20190529_CRM2,2221.310916,59.6998,NA
,,,
,,,
,percent error,,theoretical
,0.000322654,,2224.47
