 	Label	Area	%Area
1	20190123-034-10X_crop.jpg	16247.972	0
2	20190123-034-10X_crop.jpg	1057.436	0
3	20190123-034-10X_crop.jpg	0.963	0
4	20190123-034-10X_crop.jpg	0.024	0
5	20190123-034-10X_crop.jpg	0.031	0
6	20190123-034-10X_crop.jpg	3.083	0
7	20190123-034-10X_crop.jpg	0.017	0
8	20190123-034-10X_crop.jpg	0.858	0
9	20190123-034-10X_crop.jpg	0.091	0
10	20190123-034-10X_crop.jpg	0.371	0
11	20190123-034-10X_crop.jpg	1.538	0
12	20190123-034-10X_crop.jpg	0.122	0
13	20190123-034-10X_crop.jpg	0.345	0
14	20190123-034-10X_crop.jpg	0.002	0
15	20190123-034-10X_crop.jpg	0.072	0
16	20190123-034-10X_crop.jpg	0.024	0
17	20190123-034-10X_crop.jpg	0.405	0
18	20190123-034-10X_crop.jpg	0.010	0
19	20190123-034-10X_crop.jpg	0.029	0
20	20190123-034-10X_crop.jpg	0.043	0
21	20190123-034-10X_crop.jpg	0.927	0
22	20190123-034-10X_crop.jpg	0.005	0
23	20190123-034-10X_crop.jpg	0.017	0
24	20190123-034-10X_crop.jpg	0.132	0
25	20190123-034-10X_crop.jpg	0.002	0
26	20190123-034-10X_crop.jpg	0.002	0
27	20190123-034-10X_crop.jpg	0.165	0
28	20190123-034-10X_crop.jpg	0.007	0
29	20190123-034-10X_crop.jpg	0.101	0
30	20190123-034-10X_crop.jpg	0.208	0
31	20190123-034-10X_crop.jpg	0.024	0
32	20190123-034-10X_crop.jpg	0.050	0
33	20190123-034-10X_crop.jpg	0.002	0
34	20190123-034-10X_crop.jpg	0.007	0
35	20190123-034-10X_crop.jpg	0.002	0
36	20190123-034-10X_crop.jpg	0.156	0
37	20190123-034-10X_crop.jpg	0.022	0
38	20190123-034-10X_crop.jpg	0.283	0
39	20190123-034-10X_crop.jpg	0.038	0
40	20190123-034-10X_crop.jpg	0.081	0
41	20190123-034-10X_crop.jpg	0.046	0
42	20190123-034-10X_crop.jpg	0.043	0
43	20190123-034-10X_crop.jpg	0.034	0
44	20190123-034-10X_crop.jpg	0.007	0
45	20190123-034-10X_crop.jpg	0.074	0
46	20190123-034-10X_crop.jpg	0.065	0
47	20190123-034-10X_crop.jpg	0.043	0
48	20190123-034-10X_crop.jpg	0.053	0
49	20190123-034-10X_crop.jpg	0.101	0
50	20190123-034-10X_crop.jpg	0.093	0
51	20190123-034-10X_crop.jpg	0.877	0
52	20190123-034-10X_crop.jpg	0.132	0
53	20190123-034-10X_crop.jpg	0.903	0
54	20190123-034-10X_crop.jpg	0.072	0
55	20190123-034-10X_crop.jpg	0.084	0
56	20190123-034-10X_crop.jpg	0.012	0
57	20190123-034-10X_crop.jpg	6.960	0
58	20190123-034-10X_crop.jpg	0.089	0
59	20190123-034-10X_crop.jpg	0.096	0
60	20190123-034-10X_crop.jpg	0.050	0
61	20190123-034-10X_crop.jpg	0.089	0
62	20190123-034-10X_crop.jpg	0.393	0
63	20190123-034-10X_crop.jpg	0.007	0
64	20190123-034-10X_crop.jpg	0.098	0
