Sample,Sex,Stage
19,F,2
21,F,2
27,M,2
28,M,1
31,F,4
37,F,6
39,F,5
43,M,4
54,M,3
57,F,7
59,M,4
61,F,7
55(2),F,3
1,Unk,Unk
2,Unk,Unk
11/15 H Chewy,Unk,Unk
11/15 H Star,Unk,Unk
11/21 H Chewy,Unk,Unk
11/21 H Star,Unk,Unk
