 	Label	Area	%Area
1	20190123-050-10X_crop.jpg	15833.989	0
2	20190123-050-10X_crop.jpg	2414.220	0
3	20190123-050-10X_crop.jpg	4.943	0
4	20190123-050-10X_crop.jpg	0.240	0
5	20190123-050-10X_crop.jpg	0.014	0
6	20190123-050-10X_crop.jpg	0.007	0
7	20190123-050-10X_crop.jpg	0.081	0
8	20190123-050-10X_crop.jpg	0.242	0
9	20190123-050-10X_crop.jpg	0.002	0
10	20190123-050-10X_crop.jpg	0.077	0
11	20190123-050-10X_crop.jpg	0.187	0
12	20190123-050-10X_crop.jpg	0.755	0
13	20190123-050-10X_crop.jpg	0.992	0
14	20190123-050-10X_crop.jpg	0.161	0
15	20190123-050-10X_crop.jpg	0.002	0
16	20190123-050-10X_crop.jpg	1.466	0
17	20190123-050-10X_crop.jpg	0.053	0
18	20190123-050-10X_crop.jpg	0.041	0
19	20190123-050-10X_crop.jpg	0.002	0
20	20190123-050-10X_crop.jpg	0.002	0
21	20190123-050-10X_crop.jpg	0.376	0
22	20190123-050-10X_crop.jpg	0.005	0
23	20190123-050-10X_crop.jpg	0.089	0
24	20190123-050-10X_crop.jpg	0.170	0
25	20190123-050-10X_crop.jpg	0.031	0
26	20190123-050-10X_crop.jpg	0.127	0
27	20190123-050-10X_crop.jpg	3.781	0
28	20190123-050-10X_crop.jpg	0.012	0
29	20190123-050-10X_crop.jpg	0.086	0
30	20190123-050-10X_crop.jpg	0.242	0
31	20190123-050-10X_crop.jpg	0.002	0
32	20190123-050-10X_crop.jpg	0.058	0
33	20190123-050-10X_crop.jpg	0.254	0
34	20190123-050-10X_crop.jpg	0.002	0
35	20190123-050-10X_crop.jpg	0.019	0
36	20190123-050-10X_crop.jpg	0.151	0
37	20190123-050-10X_crop.jpg	0.002	0
38	20190123-050-10X_crop.jpg	0.007	0
39	20190123-050-10X_crop.jpg	0.153	0
40	20190123-050-10X_crop.jpg	0.010	0
41	20190123-050-10X_crop.jpg	0.010	0
42	20190123-050-10X_crop.jpg	0.096	0
43	20190123-050-10X_crop.jpg	0.407	0
44	20190123-050-10X_crop.jpg	0.007	0
45	20190123-050-10X_crop.jpg	0.012	0
46	20190123-050-10X_crop.jpg	0.091	0
47	20190123-050-10X_crop.jpg	0.007	0
48	20190123-050-10X_crop.jpg	0.005	0
49	20190123-050-10X_crop.jpg	0.549	0
50	20190123-050-10X_crop.jpg	0.189	0
51	20190123-050-10X_crop.jpg	0.026	0
52	20190123-050-10X_crop.jpg	0.019	0
53	20190123-050-10X_crop.jpg	0.010	0
54	20190123-050-10X_crop.jpg	1.337	0
55	20190123-050-10X_crop.jpg	0.041	0
56	20190123-050-10X_crop.jpg	0.022	0
57	20190123-050-10X_crop.jpg	0.002	0
58	20190123-050-10X_crop.jpg	0.012	0
59	20190123-050-10X_crop.jpg	0.002	0
60	20190123-050-10X_crop.jpg	0.024	0
61	20190123-050-10X_crop.jpg	0.007	0
62	20190123-050-10X_crop.jpg	0.115	0
63	20190123-050-10X_crop.jpg	0.089	0
64	20190123-050-10X_crop.jpg	0.002	0
65	20190123-050-10X_crop.jpg	0.005	0
66	20190123-050-10X_crop.jpg	0.022	0
67	20190123-050-10X_crop.jpg	0.122	0
68	20190123-050-10X_crop.jpg	0.326	0
69	20190123-050-10X_crop.jpg	0.716	0
70	20190123-050-10X_crop.jpg	0.010	0
71	20190123-050-10X_crop.jpg	0.002	0
72	20190123-050-10X_crop.jpg	0.216	0
73	20190123-050-10X_crop.jpg	0.029	0
74	20190123-050-10X_crop.jpg	0.012	0
75	20190123-050-10X_crop.jpg	0.002	0
76	20190123-050-10X_crop.jpg	0.252	0
77	20190123-050-10X_crop.jpg	0.034	0
78	20190123-050-10X_crop.jpg	0.019	0
79	20190123-050-10X_crop.jpg	0.029	0
80	20190123-050-10X_crop.jpg	0.434	0
81	20190123-050-10X_crop.jpg	0.019	0
82	20190123-050-10X_crop.jpg	0.002	0
83	20190123-050-10X_crop.jpg	0.002	0
84	20190123-050-10X_crop.jpg	0.362	0
85	20190123-050-10X_crop.jpg	0.060	0
86	20190123-050-10X_crop.jpg	2.209	0
87	20190123-050-10X_crop.jpg	0.199	0
88	20190123-050-10X_crop.jpg	0.113	0
89	20190123-050-10X_crop.jpg	0.002	0
90	20190123-050-10X_crop.jpg	0.002	0
91	20190123-050-10X_crop.jpg	0.012	0
92	20190123-050-10X_crop.jpg	0.058	0
93	20190123-050-10X_crop.jpg	0.081	0
94	20190123-050-10X_crop.jpg	0.010	0
95	20190123-050-10X_crop.jpg	0.002	0
96	20190123-050-10X_crop.jpg	0.002	0
97	20190123-050-10X_crop.jpg	0.017	0
98	20190123-050-10X_crop.jpg	0.005	0
99	20190123-050-10X_crop.jpg	0.002	0
100	20190123-050-10X_crop.jpg	0.005	0
101	20190123-050-10X_crop.jpg	0.007	0
102	20190123-050-10X_crop.jpg	0.019	0
103	20190123-050-10X_crop.jpg	0.002	0
104	20190123-050-10X_crop.jpg	0.081	0
105	20190123-050-10X_crop.jpg	0.022	0
106	20190123-050-10X_crop.jpg	0.002	0
107	20190123-050-10X_crop.jpg	0.029	0
108	20190123-050-10X_crop.jpg	0.036	0
109	20190123-050-10X_crop.jpg	0.371	0
110	20190123-050-10X_crop.jpg	0.017	0
111	20190123-050-10X_crop.jpg	0.491	0
112	20190123-050-10X_crop.jpg	0.002	0
