Sample.ID,TA,Mass,Type
20181119_Junk,2141.684548,59.7332,NA
20181119_CR1,2242.294907,60.0357,NA
20181119_CR2,2242.197051,59.5327,NA
,,,
,,,
Batch 137 TA,2231.59,,
,,,
CRM1 error,0.479698652,,
CRM2 error,0.475313622,,
