sample,mass,salinity,Sample.ID,Type,Notes
20181219_JUNK,60.091,29,JUNK,Junk,
20181219_1A,60.2324,,1A,1A,
20181219_1B,59.3514,,1B,1B,
20181219_2A,59.4953,,2A,2A,
20181219_2B,59.452,,2B,2B,
20181219_3A,60.524,,3A,3A,
20181219_3B,59.5237,,3B,3B,
20181219_4A,59.1018,,4A,4A,
20181219_4B,59.8317,,4B,4B,
