Sample.ID,TA,Mass,Type
20181116_Junk,2123.75847,60.03,NA
20181116_CR1,2248.10582,59.4096,NA
20181116_CR2,2244.697933,59.192,NA
,,,
,,,
,,,
Batch 137 TA,2231.59,,
,,,
CRM1 error,0.740092045,,
CRM2 error,0.587380872,,
