 	Label	Area	%Area
1	20190221-057-10x.jpg	8359.844	0
2	20190221-057-10x.jpg	24009.190	0
3	20190221-057-10x.jpg	1310.140	0
4	20190221-057-10x.jpg	0.450	0
5	20190221-057-10x.jpg	0.005	0
6	20190221-057-10x.jpg	0.450	0
7	20190221-057-10x.jpg	0.014	0
8	20190221-057-10x.jpg	0.005	0
9	20190221-057-10x.jpg	0.673	0
10	20190221-057-10x.jpg	1.052	0
11	20190221-057-10x.jpg	0.117	0
12	20190221-057-10x.jpg	0.002	0
13	20190221-057-10x.jpg	0.002	0
14	20190221-057-10x.jpg	0.002	0
15	20190221-057-10x.jpg	0.005	0
16	20190221-057-10x.jpg	0.091	0
17	20190221-057-10x.jpg	0.149	0
18	20190221-057-10x.jpg	0.024	0
19	20190221-057-10x.jpg	0.055	0
20	20190221-057-10x.jpg	0.014	0
21	20190221-057-10x.jpg	0.146	0
22	20190221-057-10x.jpg	0.752	0
23	20190221-057-10x.jpg	0.002	0
24	20190221-057-10x.jpg	7.188	0
25	20190221-057-10x.jpg	0.002	0
26	20190221-057-10x.jpg	0.002	0
27	20190221-057-10x.jpg	0.017	0
28	20190221-057-10x.jpg	0.010	0
29	20190221-057-10x.jpg	0.024	0
30	20190221-057-10x.jpg	0.002	0
31	20190221-057-10x.jpg	0.010	0
32	20190221-057-10x.jpg	0.038	0
33	20190221-057-10x.jpg	0.017	0
34	20190221-057-10x.jpg	0.101	0
35	20190221-057-10x.jpg	0.002	0
36	20190221-057-10x.jpg	0.153	0
37	20190221-057-10x.jpg	0.005	0
38	20190221-057-10x.jpg	0.002	0
39	20190221-057-10x.jpg	0.014	0
40	20190221-057-10x.jpg	0.002	0
41	20190221-057-10x.jpg	2.180	0
42	20190221-057-10x.jpg	0.117	0
43	20190221-057-10x.jpg	0.005	0
44	20190221-057-10x.jpg	0.208	0
45	20190221-057-10x.jpg	16.067	0
46	20190221-057-10x.jpg	0.002	0
47	20190221-057-10x.jpg	0.434	0
48	20190221-057-10x.jpg	0.002	0
49	20190221-057-10x.jpg	0.010	0
50	20190221-057-10x.jpg	0.002	0
51	20190221-057-10x.jpg	0.007	0
52	20190221-057-10x.jpg	0.005	0
53	20190221-057-10x.jpg	0.002	0
54	20190221-057-10x.jpg	0.005	0
55	20190221-057-10x.jpg	0.002	0
56	20190221-057-10x.jpg	0.043	0
57	20190221-057-10x.jpg	0.010	0
58	20190221-057-10x.jpg	0.002	0
59	20190221-057-10x.jpg	0.072	0
60	20190221-057-10x.jpg	0.002	0
61	20190221-057-10x.jpg	0.288	0
62	20190221-057-10x.jpg	0.005	0
63	20190221-057-10x.jpg	0.098	0
64	20190221-057-10x.jpg	0.022	0
65	20190221-057-10x.jpg	0.117	0
66	20190221-057-10x.jpg	0.002	0
67	20190221-057-10x.jpg	0.019	0
68	20190221-057-10x.jpg	0.005	0
69	20190221-057-10x.jpg	0.489	0
70	20190221-057-10x.jpg	0.010	0
71	20190221-057-10x.jpg	0.024	0
72	20190221-057-10x.jpg	0.002	0
73	20190221-057-10x.jpg	0.002	0
74	20190221-057-10x.jpg	0.002	0
75	20190221-057-10x.jpg	0.007	0
76	20190221-057-10x.jpg	0.002	0
77	20190221-057-10x.jpg	0.012	0
78	20190221-057-10x.jpg	0.036	0
79	20190221-057-10x.jpg	0.005	0
80	20190221-057-10x.jpg	0.278	0
81	20190221-057-10x.jpg	0.002	0
82	20190221-057-10x.jpg	0.132	0
83	20190221-057-10x.jpg	0.005	0
84	20190221-057-10x.jpg	0.005	0
85	20190221-057-10x.jpg	0.079	0
